date,rainfall_mean_mm,rainfall_max_mm,rainfall_total_mm,heavy_rain_pixels,extreme_rain_pixels
2024-07-13,12.326888084411621,263.13995361328125,1149778.125,5314,609
2024-07-14,12.413172721862793,415.4750061035156,1157826.25,5251,1690
2024-07-15,12.94837474822998,281.0749206542969,1207746.75,5236,1297
2024-07-16,12.773377418518066,290.2150573730469,1191424.0,5646,940
2024-07-17,13.849981307983398,511.5700378417969,1291843.125,6681,2300
2024-07-18,15.226638793945312,440.34991455078125,1420249.5,8643,2261
2024-07-19,11.730795860290527,297.489990234375,1094178.25,6077,1030
2024-07-20,9.641958236694336,172.4149932861328,899344.0,3878,481
2024-07-21,9.750747680664062,191.47999572753906,909491.25,3585,340
2024-07-22,9.814332008361816,259.0800476074219,915422.0,4045,516
2024-07-23,9.884933471679688,325.1549987792969,922007.3125,4298,915
2024-07-24,12.822269439697266,396.72003173828125,1195984.375,5942,2002
2024-07-25,11.75751781463623,381.3449401855469,1096670.75,5104,1999
2024-07-26,10.031563758850098,420.3650207519531,935684.0625,3894,1020
2024-07-27,9.918033599853516,237.15000915527344,925094.6875,4555,808
2024-07-28,9.245508193969727,230.12496948242188,862365.5,4100,696
2024-07-29,8.956202507019043,236.09500122070312,835380.875,2850,344
2024-07-30,9.454591751098633,287.5299987792969,881867.625,4390,651
2024-07-31,13.700305938720703,400.614990234375,1277882.375,7328,1654
2024-08-01,12.222601890563965,348.4599304199219,1140051.0,5148,1488
2024-08-02,10.073027610778809,213.75003051757812,939551.5625,4298,703
2024-08-03,9.822710037231445,190.0299835205078,916203.5,3497,447
2024-08-04,9.68779182434082,242.53500366210938,903619.125,3902,515
2024-08-05,9.807561874389648,414.2200012207031,914790.5,2925,611
2024-08-06,9.848917961120605,263.31500244140625,918647.9375,3011,194
2024-08-07,7.435540676116943,273.85498046875,693542.625,1576,89
2024-08-08,4.816559791564941,208.0050048828125,449259.8125,613,49
2024-08-09,5.277022361755371,249.16500854492188,492209.0,1221,168
2024-08-10,5.845970630645752,190.93002319335938,545277.0625,1145,98
2024-08-11,6.822720050811768,213.82501220703125,636382.375,1888,185
2024-08-12,6.3995137214660645,353.4349670410156,596908.25,1984,416
2024-08-13,8.436809539794922,350.5399475097656,786935.0,3046,1049
2024-08-14,8.50131607055664,385.62017822265625,792951.75,3048,867
2024-08-15,8.761491775512695,721.1448974609375,817219.375,2823,574
2024-08-16,10.998785018920898,286.5299987792969,1025900.6875,4772,665
2024-08-17,12.663094520568848,233.24501037597656,1181137.5,5969,981
2024-08-18,9.73569107055664,193.37496948242188,908086.875,3504,503
2024-08-19,10.17507266998291,271.89501953125,949069.75,3149,416
2024-08-20,10.752638816833496,245.98001098632812,1002941.625,3743,691
2024-08-21,10.489487648010254,240.05001831054688,978396.5,4281,1165
2024-08-22,11.278775215148926,259.2599792480469,1052016.5,4735,869
2024-08-23,11.056139945983887,381.3500061035156,1031250.375,5099,1028
2024-08-24,12.62634563446045,316.4949951171875,1177709.75,5976,1585
2024-08-25,9.054770469665527,363.52001953125,844574.625,4431,785
2024-08-26,9.496087074279785,236.89999389648438,885738.0,4064,892
2024-08-27,11.30250358581543,266.2900085449219,1054229.75,5239,1186
2024-08-28,11.676011085510254,522.6499633789062,1089068.25,5616,1387
2024-08-29,9.869575500488281,439.19000244140625,920574.75,4124,1087
2024-08-30,9.6726655960083,432.38995361328125,902208.25,3395,973
2024-08-31,7.816765785217285,171.99002075195312,729101.0,2465,352
2024-09-01,8.330806732177734,205.655029296875,777047.625,2526,323
2024-09-02,10.638803482055664,220.08998107910156,992323.75,4822,770
2024-09-03,11.223967552185059,305.5198974609375,1046904.3125,4318,925
2024-09-04,8.711870193481445,365.6249694824219,812591.0,2592,587
2024-09-05,8.442063331604004,285.30999755859375,787425.0,2998,945
2024-09-06,8.976067543029785,471.7698974609375,837233.6875,3399,940
2024-09-07,10.011026382446289,480.59002685546875,933768.4375,4187,1585
2024-09-08,8.438094139099121,758.2199096679688,787054.75,2708,796
2024-09-09,6.919668197631836,206.6949920654297,645425.125,2641,540
2024-09-10,8.451138496398926,211.2099609375,788271.5,4885,1185
2024-09-11,8.959169387817383,562.8550415039062,835657.5625,4181,1291
2024-09-12,9.315279960632324,482.61993408203125,868873.4375,3914,1551
2024-09-13,8.541924476623535,460.9549560546875,796739.5,3853,1413
2024-09-14,6.5608038902282715,389.114990234375,611952.4375,2845,410
2024-09-15,4.441953659057617,206.2949981689453,414318.78125,1602,92
2024-09-16,4.849048614501953,202.7749786376953,452290.15625,2385,477
2024-09-17,4.649946689605713,280.4150085449219,433719.125,1876,267
2024-09-18,4.763372421264648,212.15501403808594,444298.8125,1505,138
2024-09-19,4.854376792907715,161.5900115966797,452787.15625,2062,248
2024-09-20,4.893703460693359,213.75498962402344,456455.28125,1244,164
2024-09-21,4.782588958740234,158.88999938964844,446091.21875,1013,47
2024-09-22,5.600728511810303,142.4199981689453,522402.34375,1500,69
2024-09-23,8.349125862121582,276.58001708984375,778756.375,2753,182
2024-09-24,9.023577690124512,230.54000854492188,841665.1875,2802,261
2024-09-25,9.419947624206543,286.594970703125,878636.1875,3995,431
2024-09-26,8.813632011413574,274.64996337890625,822082.75,3484,687
2024-09-27,7.2912516593933105,325.5149841308594,680084.1875,3233,1028
2024-09-28,3.9836061000823975,165.4200439453125,371566.875,1178,164
2024-09-29,2.3540852069854736,124.53498840332031,219574.9375,225,10
2024-09-30,4.071518421173096,192.17999267578125,379766.8125,1272,106
2024-10-01,7.890198707580566,225.530029296875,735950.375,4231,978
2024-10-02,7.945578575134277,250.45501708984375,741115.875,3658,965
2024-10-03,6.030476093292236,191.07498168945312,562486.625,1914,189
2024-10-04,5.137014389038086,171.55996704101562,479149.875,1383,103
2024-10-05,5.527157306671143,192.58499145507812,515540.0625,1407,93
2024-10-06,4.117757797241211,190.82501220703125,384079.75,799,60
2024-10-07,5.5709147453308105,202.54501342773438,519621.5,2180,250
2024-10-08,5.6232781410217285,213.24496459960938,524505.625,1659,275
2024-10-09,5.248327255249023,247.29998779296875,489532.46875,1387,236
2024-10-10,5.747650623321533,179.5900115966797,536106.375,1733,258
2024-10-11,6.008228302001953,227.8699951171875,560411.5,2084,293
2024-10-12,5.931308746337891,242.5,553236.875,1918,510
2024-10-13,6.734014987945557,198.29495239257812,628108.5,2241,219
2024-10-14,7.913403034210205,221.8800048828125,738114.75,3758,602
2024-10-15,5.851936340332031,228.99496459960938,545833.5,2192,560
2024-10-16,4.372288703918457,183.8000030517578,407820.875,1213,202
2024-10-17,3.6270108222961426,198.75498962402344,338305.8125,1007,162
2024-10-18,4.972362995147705,228.9099884033203,463792.1875,1946,225
2024-10-19,6.6434783935546875,215.54501342773438,619663.8125,2359,117
2024-10-20,6.617227077484131,243.56997680664062,617215.25,2854,275
2024-10-21,5.355015754699707,245.1899871826172,499483.75,2345,352
2024-10-22,7.268529891967773,302.9200134277344,677964.875,3723,934
2024-10-23,9.438055038452148,440.10498046875,880325.125,3555,1386
2024-10-24,5.924964904785156,416.22003173828125,552645.1875,2038,620
2024-10-25,3.7064857482910156,181.22998046875,345718.75,1605,302
2024-10-26,2.1589930057525635,180.8999786376953,201377.90625,688,95
2024-10-27,0.9671900868415833,107.26998138427734,90213.6875,86,3
2024-10-28,1.2711774110794067,147.489990234375,118567.796875,250,26
2024-10-29,0.8776185512542725,166.95999145507812,81858.9921875,119,8
2024-10-30,0.8297983407974243,137.2799835205078,77398.609375,125,16
2024-10-31,1.3758879899978638,150.7100067138672,128334.578125,285,16
2024-11-01,0.865645170211792,156.87997436523438,80742.1875,99,30
2024-11-02,1.5266987085342407,171.7849884033203,142401.296875,310,17
2024-11-03,0.826932430267334,162.44998168945312,77131.296875,112,17
2024-11-04,1.9916527271270752,123.25001525878906,185769.421875,475,10
2024-11-05,3.3968374729156494,254.05499267578125,316836.625,895,147
2024-11-06,4.702030658721924,234.594970703125,438577.1875,1777,284
2024-11-07,5.716422080993652,403.6549072265625,533193.5625,2741,602
2024-11-08,4.899033546447754,303.4450378417969,456952.4375,2023,783
2024-11-09,2.245107889175415,137.25,209410.1875,855,67
2024-11-10,1.871730923652649,186.91000366210938,174583.828125,614,101
2024-11-11,1.9003366231918335,156.06500244140625,177252.0,614,57
2024-11-12,2.090994119644165,179.07498168945312,195035.375,773,87
2024-11-13,1.4835262298583984,174.61502075195312,138374.421875,233,17
2024-11-14,1.9460289478302002,157.20498657226562,181513.90625,188,8
2024-11-15,1.4898622035980225,127.61500549316406,138965.40625,339,12
2024-11-16,1.3914909362792969,142.40499877929688,129789.9296875,291,12
2024-11-17,1.557026743888855,96.55000305175781,145230.109375,165,0
2024-11-18,2.0797836780548096,189.52499389648438,193989.75,593,26
2024-11-19,2.995927572250366,251.4099884033203,279442.15625,1777,451
2024-11-20,2.5197653770446777,144.03501892089844,235028.59375,844,83
2024-11-21,3.155813694000244,230.49000549316406,294355.375,1423,179
2024-11-22,3.594736337661743,223.40499877929688,335295.4375,1883,195
2024-11-23,3.6210508346557617,191.9849853515625,337749.90625,1678,130
2024-11-24,4.718714237213135,396.3349914550781,440133.34375,1958,711
2024-11-25,8.513248443603516,358.8800354003906,794064.75,6536,1533
2024-11-26,8.502330780029297,288.7049560546875,793046.375,5022,1349
2024-11-27,6.462409019470215,361.73004150390625,602774.75,3852,1555
2024-11-28,6.567647457122803,347.29498291015625,612590.75,3350,1528
2024-11-29,7.661861896514893,277.2650146484375,714652.5,4481,1768
2024-11-30,5.706297874450684,205.64999389648438,532249.25,3018,679
2024-12-01,2.8480451107025146,270.9300231933594,265648.5625,1096,178
2024-12-02,2.7784528732299805,362.7850341796875,259157.40625,1189,527
2024-12-03,2.060647487640381,229.03997802734375,192204.828125,778,183
2024-12-04,0.9636176228523254,91.2249984741211,89880.46875,75,0
2024-12-05,1.528924584388733,153.364990234375,142608.90625,514,5
2024-12-06,2.1774468421936035,175.23997497558594,203099.171875,1140,240
2024-12-07,1.800964117050171,167.24000549316406,167983.125,781,17
2024-12-08,2.6702511310577393,186.0549774169922,249065.0,1055,190
2024-12-09,2.568786144256592,178.96498107910156,239600.953125,826,43
2024-12-10,3.337817430496216,305.1650085449219,311331.59375,1373,263
2024-12-11,1.8777214288711548,204.29501342773438,175142.59375,926,363
2024-12-12,2.698690176010132,140.64500427246094,251717.625,1435,134
