state,district,latitude,longitude,coordinate_source
Gujarat,Rajkot,22.3039,70.8022,cache/manual
Gujarat,Sabarkantha,23.8688505,73.013784,cache/manual
Gujarat,Surat,21.2094892,72.8317058,cache/manual
Gujarat,Surendranagar,22.8251395,71.6209736,cache/manual
Gujarat,Vadodara,22.2973142,73.1942567,cache/manual
Gujarat,Valsad,20.4321957,73.1409893,cache/manual
Haryana,Ambala,30.3843674,76.770421,cache/manual
Haryana,Bhiwani,28.7931703,76.1391283,cache/manual
Haryana,Faridabad,28.4031478,77.3105561,cache/manual
Haryana,Fatehabad,29.5359209,75.5752901,cache/manual
Haryana,Gurgaon,28.4646148,77.0299194,cache/manual
Haryana,Hisar,29.2396596,75.8174505,cache/manual
Haryana,Jhajjar,28.5964461,76.6505366,cache/manual
Haryana,Jind,29.3152073,76.314082,cache/manual
Haryana,Kaithal,29.7996588,76.3989903,cache/manual
Haryana,Karnal,29.7255766,76.9106924,cache/manual
Haryana,Kurukshetra,29.9693747,76.8482787,cache/manual
Haryana,Mahendragarh,28.1326971,76.1697448,cache/manual
Haryana,Panchkula,30.6975401,76.8551066,cache/manual
Haryana,Panipat,29.3912753,76.9771675,cache/manual
Haryana,Rewari,28.1956468,76.6165179,cache/manual
Haryana,Rohtak,28.9010899,76.5801935,cache/manual
Haryana,Sirsa,29.6063041,74.9036568,cache/manual
Haryana,Sonepat,28.99197,77.0342633,cache/manual
Haryana,Yamuna Nagar,30.1389108,77.301064,cache/manual
Himachal Pradesh,Bilaspur,31.3380959,76.7611631,cache/manual
Himachal Pradesh,Chamba,32.6923316,76.1631552,cache/manual
Himachal Pradesh,Hamirpur,31.6539866,76.5403633,cache/manual
Himachal Pradesh,Kangra,32.0768665,76.2985872,cache/manual
Himachal Pradesh,Kinnaur,31.593013,78.3281417,cache/manual
Himachal Pradesh,Kullu,31.9578974,77.1089232,cache/manual
Himachal Pradesh,Lahaul and Spiti,32.57,77.03,cache/manual
Himachal Pradesh,Mandi,31.6516617,77.0092542,cache/manual
Himachal Pradesh,Shimla,31.1040393,77.1707923,cache/manual
Himachal Pradesh,Sirmaur,30.6991321,77.4465304,cache/manual
Himachal Pradesh,Solan,30.9077569,77.1023645,cache/manual
Himachal Pradesh,Una,31.5834642,76.2351452,cache/manual
Jammu and Kashmir,Anantnag,33.74611,75.1854475,cache/manual
Jammu and Kashmir,Baramulla,34.2086903,74.343498,cache/manual
Jammu and Kashmir,Budgam,33.9098746,74.6270357,cache/manual
Jammu and Kashmir,Doda,33.1341373,75.587915,cache/manual
Jammu and Kashmir,Jammu,32.7185614,74.8580917,cache/manual
Jammu and Kashmir,Kargil,32.7045476,74.871206,cache/manual
Jammu and Kashmir,Kathua,32.3765524,75.5243044,cache/manual
Jammu and Kashmir,Kupwara,34.526,74.256,cache/manual
Jammu and Kashmir,Leh,34.1664372,74.808529,cache/manual
Jammu and Kashmir,Poonch,33.7670004,74.0957143,cache/manual
Jammu and Kashmir,Pulwama,33.9490472,75.0418335,cache/manual
Jammu and Kashmir,Rajouri,33.3772495,74.3132332,cache/manual
Jammu and Kashmir,Srinagar,34.0747444,74.8204443,cache/manual
Jammu and Kashmir,Udhampur,32.9219726,75.1331482,cache/manual
Jharkhand,Bokaro,23.6991279,85.9910689,cache/manual
Jharkhand,Chatra,24.1062316,84.8623379,cache/manual
Jharkhand,Deoghar,24.4898318,86.6990182,cache/manual
Jharkhand,Dhanbad,23.7952809,86.4309638,cache/manual
Jharkhand,Dumka,24.2677937,87.2485495,cache/manual
Jharkhand,East Singhbhum,22.8046,86.2029,cache/manual
Jharkhand,Garhwa,24.053577,83.6526818,cache/manual
Jharkhand,Giridih,24.3314546,86.1548117,cache/manual
Jharkhand,Godda,24.8645886,87.2984838,cache/manual
Jharkhand,Gumla,23.1603759,84.4599565,cache/manual
Jharkhand,Hazaribag,23.9924352,85.3616252,cache/manual
Jharkhand,Jamtara,23.9801639,86.9243637,cache/manual
Jharkhand,Koderma,24.4931239,85.5560811,cache/manual
Jharkhand,Latehar,23.6880057,84.4969551,cache/manual
Jharkhand,Lohardaga,23.4770044,84.6986684,cache/manual
Jharkhand,Pakur,24.5325908,87.593232,cache/manual
Jharkhand,Palamu,24.2212983,84.1725565,cache/manual
Jharkhand,Ranchi,23.3700501,85.3250387,cache/manual
Jharkhand,Sahibganj,25.0320437,87.691764,cache/manual
Jharkhand,Saraikela Kharsawan,22.7464225,85.9168929,cache/manual
Jharkhand,Simdega,22.5904573,84.5464805,cache/manual
Jharkhand,West Singhbhum,22.558,85.788,cache/manual
Karnataka,Bagalkot,16.1793224,75.6999315,cache/manual
Karnataka,Ballari,15.3483166,76.8054883,cache/manual
Karnataka,Bangalore Rural,13.0010872,77.3361225,cache/manual
