state,district,district_latitude,district_longitude,scene_id,acquisition_datetime,platform,orbit_state,instrument_mode,tiff_urls,has_vv,has_vh,download_status
Rajasthan,Bhilwara,25.470994,74.6961316,S1A_IW_GRDH_1SDV_20241230T130312_20241230T130337_057222_0709C1_4963_COG,2024-12-30 13:03:12.162985+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T130312_20241230T130337_057222_0709C1_4963_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t130312-20241230t130337-057222-0709c1-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T130312_20241230T130337_057222_0709C1_4963_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t130312-20241230t130337-057222-0709c1-001-cog.tiff,True,True,PENDING
Rajasthan,Sawai Madhopur,26.2290186,76.3043561,S1A_IW_GRDH_1SDV_20241230T130243_20241230T130312_057222_0709C1_D6B7_COG,2024-12-30 13:02:43.337038+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T130243_20241230T130312_057222_0709C1_D6B7_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t130243-20241230t130312-057222-0709c1-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T130243_20241230T130312_057222_0709C1_D6B7_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t130243-20241230t130312-057222-0709c1-001-cog.tiff,True,True,PENDING
Tamil Nadu,Tirunelveli,8.7139,77.7567,S1A_IW_GRDH_1SDV_20241230T003334_20241230T003354_057214_07096B_21D4_COG,2024-12-30 00:33:34.823517+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T003334_20241230T003354_057214_07096B_21D4_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t003334-20241230t003354-057214-07096b-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T003334_20241230T003354_057214_07096B_21D4_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t003334-20241230t003354-057214-07096b-001-cog.tiff,True,True,PENDING
Tamil Nadu,Ramanathapuram,9.5205576,78.5184635,S1A_IW_GRDH_1SDV_20241230T003309_20241230T003334_057214_07096B_8B63_COG,2024-12-30 00:33:09.824579+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T003309_20241230T003334_057214_07096B_8B63_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t003309-20241230t003334-057214-07096b-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T003309_20241230T003334_057214_07096B_8B63_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t003309-20241230t003334-057214-07096b-001-cog.tiff,True,True,PENDING
Puducherry,Karaikal,10.91571,79.8375761,S1A_IW_GRDH_1SDV_20241230T003244_20241230T003309_057214_07096B_9203_COG,2024-12-30 00:32:44.824111+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T003244_20241230T003309_057214_07096B_9203_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t003244-20241230t003309-057214-07096b-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T003244_20241230T003309_057214_07096B_9203_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t003244-20241230t003309-057214-07096b-001-cog.tiff,True,True,PENDING
Tamil Nadu,Tiruvannamalai,12.4289282,78.99915,S1A_IW_GRDH_1SDV_20241230T003219_20241230T003244_057214_07096B_FABF_COG,2024-12-30 00:32:19.823658+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T003219_20241230T003244_057214_07096B_FABF_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t003219-20241230t003244-057214-07096b-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T003219_20241230T003244_057214_07096B_FABF_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t003219-20241230t003244-057214-07096b-001-cog.tiff,True,True,PENDING
Andhra Pradesh,Nellore,14.4493717,79.9873763,S1A_IW_GRDH_1SDV_20241230T003154_20241230T003219_057214_07096B_CDF3_COG,2024-12-30 00:31:54.824709+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T003154_20241230T003219_057214_07096B_CDF3_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t003154-20241230t003219-057214-07096b-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T003154_20241230T003219_057214_07096B_CDF3_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t003154-20241230t003219-057214-07096b-001-cog.tiff,True,True,PENDING
Andhra Pradesh,Prakasam,15.5641955,80.0066786,S1A_IW_GRDH_1SDV_20241230T003129_20241230T003154_057214_07096B_20B1_COG,2024-12-30 00:31:29.824324+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T003129_20241230T003154_057214_07096B_20B1_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t003129-20241230t003154-057214-07096b-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T003129_20241230T003154_057214_07096B_20B1_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t003129-20241230t003154-057214-07096b-001-cog.tiff,True,True,PENDING
Andhra Pradesh,Krishna,16.2135466,81.0277844,S1A_IW_GRDH_1SDV_20241230T003104_20241230T003129_057214_07096B_6BAE_COG,2024-12-30 00:31:04.823855+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T003104_20241230T003129_057214_07096B_6BAE_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t003104-20241230t003129-057214-07096b-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T003104_20241230T003129_057214_07096B_6BAE_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t003104-20241230t003129-057214-07096b-001-cog.tiff,True,True,PENDING
Odisha,Malkangiri,18.2744685,81.9520316,S1A_IW_GRDH_1SDV_20241230T003039_20241230T003104_057214_07096B_4975_COG,2024-12-30 00:30:39.823409+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T003039_20241230T003104_057214_07096B_4975_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t003039-20241230t003104-057214-07096b-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T003039_20241230T003104_057214_07096B_4975_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t003039-20241230t003104-057214-07096b-001-cog.tiff,True,True,PENDING
